Scène 2.VIII.,ၸၼ်ႉ 2.VIII
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",ႁႂ်ႈတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတႃတ
"  Mettre, quand il vous plaît, son feutre de travers,",ပေႃးသူ ၶႂ်ႈႁႂ်ႈမၼ်းပဵၼ် တၢင်းပဵၼ် ဢၼ်ဢမ်ႇလီၼႆ
"  Pour un oui, pour un non, se battre,--ou faire un vers !","ပေႃးဝႃႈပဵၼ်ဢၼ်ဝႃႈ ""ၸႂ်ႈ"" ဢမ်ႇၼၼ် ""ဢမ်ႇၸႂ်ႈ"" ၼႆၸိုင် ပဵၼ်ဢၼ်တေလႆႈတိုၵ်းၵၼ်၊ ဢမ်ႇၼၼ် ပဵၼ်ဢၼ်တေလႆႈႁဵတ်း။"
"  Travailler sans souci de gloire ou de fortune,",ႁဵတ်းၵၢၼ် လူၺ်ႈဢမ်ႇမီး တၢင်းၶႂ်ႈလႆႈ လွင်ႈယႂ်ႇသုင် လႄႈ လွင်ႈမၢၵ်ႈမီး
"  A tel voyage, auquel on pense, dans la lune !",လွင်ႈၵႂႃႇလၢဝ် ဢၼ်ႁဝ်းဝူၼ်ႉထိုင်ၼၼ်ႉ။
"  N'écrire jamais rien qui de soi ne sortît,",ယႃႇပေတႅမ်ႈသင် ဢၼ်ဢမ်ႇဢွၵ်ႇမႃးတီႈတူဝ်ၵဝ်ႇ။
"  Et modeste d'ailleurs, se dire: mon petit,","ပေႃးဝႃႈ ပဵၼ်ၵူၼ်းၵတ်းယဵၼ်ၼႆၸိုင် မၼ်းတေၸၢင်ႈလၢတ်ႈဝႃႈ ""လုၵ်ႈဢွၼ်ႇၵဝ်ၶႃႈ၊"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ ၸၢင်ႈ ၵိၼ်ၶဝ်ႈသၢၼ်၊ သူ လႆႈ ဢေႃႈ။
  Si c'est dans ton jardin à toi que tu les cueilles !,ပေႃးဝႃႈ သူဢဝ်ၶဝ် မႃးတီႈၼႂ်းသူၼ်သူၼ် သူၼ်ၼႆ။
"  Puis, s'il advient d'un peu triompher, par hasard,",ပေႃးဝႃႈ မၼ်းဢွင်ႇပေႉမႃး တၢၼ်ႇတၢၼ်ႇတၢၼ်ႇၼႆ ၸိုင်၊မၼ်းၸဝ်ႈ တၵ်း လႆႈ ဢွင်ႇပေႉ ဢေႃႈ။
"  Ne pas être obligé d'en rien rendre à César,",ပိူဝ်ႈ ၼႆ လႄႈ ၵဝ် ဢမ်ႇ လႆႈ ၶၢမ်ႇ တၢင်း ဢၼ် တၵ်း လႆႈ တွပ်ႇတႅၼ်း တၢမ်ႇ ဢၼ် တၵ်း လႆႈ တွပ်ႇတႅၼ်း တၢမ်ႇ ဢၼ် ၸဝ်ႈၶုၼ်ႁေႃၶမ်း မိူင်း ၶေႇသႃႇ ၼၼ်ႉ။
"  Vis-à-vis de soi-même en garder le mérite,",ပေႃးဝႃႈႁဝ်းဢဝ်ပုၼ်ႈၽွၼ်းႁဝ်းသေ ႁဵတ်းသၢင်ႈၵႂႃႇၸိုင်
"  Bref, dédaignant d'être le lierre parasite,",ပေႃးဢဝ်မဵဝ်းမဵဝ်းမဵဝ်းဝႃႈၸိုင် ဢမ်ႇယွမ်းႁပ်ႉဝႃႈ ပဵၼ်တူဝ်မႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမႅင်းမ
"  Lors même qu'on n'est pas le chêne ou le tilleul,",သင်ၸိူဝ်ႉဝႃႈ ႁဝ်းဢမ်ႇၸႂ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈမႆႉတူၼ်ႈ
"  Ne pas monter bien haut, peut-être, mais tout seul !",မၢင်တီႈၵေႃႈတေၶိုၼ်ႈလႆႈယူႇ၊ ၵူၺ်းၵႃႈတေၶိုၼ်ႈလႆႈယူႇၵူၺ်း။
LE BRET:,မၢၵ်ႇမႅင်းမႆႈ
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",ပေႃးပဵၼ်ၵေႃႉလဵဝ်ၵူၺ်းၵေႃႈ ဢမ်ႇလႆႈတေႃႇၵၼ်တင်းမူတ်း။
  As-tu donc contracté la manie effroyable,မႂ်း လႆႈပဵၼ် ၵူၼ်းလိူတ်ႇလိူတ်ႇလိူတ်ႇ ႁိုဝ်း။
"  De te faire toujours, partout, des ennemis ?",လွင်ႈဢၼ်ႁဝ်းၶႃႈ ႁဵတ်းႁႂ်ႈပိူၼ်ႈ ပဵၼ်ၽီႁဝ်းယူႇၵူႈတီႈၵူႈတီႈ။
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,",ယွၼ်ႉပိူဝ်ႈဝႃႈ သူတိုၵ်ႉပဵၼ်ပီႈၼွင်ႉၵၼ်ယူႇ၊
"  Et rire à ces amis dont vous avez des foules,",လႄႈ ၼႄဢမူၼ်ႈၼိူဝ် မႄႈႁွင်ႈသွၼ် ၸိူဝ်းဢၼ်မီးၵူၼ်းတင်းၼမ်ၼၼ်ႉ
  D'une bouche empruntée au derrière des poules !,မၼ်းဢဝ်ပႃဢၼ်လႆႈဢဝ်တီႈလင်မႃၶဝ်ၼၼ်ႉသေ ႁဵတ်း။
"  J'aime raréfier sur mes pas les saluts,",ၵဝ်ၶႃႈ ႁၵ်ႉ ဢဝ် ၵႂၢမ်း မၢဝ်ႇသၢဝ် တၢင်ႇၵေႃႉ မႃး ႁၵ်ႉ သူး။
  Et m'écrie avec joie: un ennemi de plus !,"""သူ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁွင်ႉႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ ႁႆႈ"
LE BRET:,မၢၵ်ႇမႅင်းမႆႈ
  Quelle aberration !,ဢၼ်ၼႆႉ ပဵၼ်လွင်ႈယိူင်းဢၢၼ်းဢၼ်လၢၵ်ႇလၢႆး။
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.",မႂ်ႇသုင်ၶႃႈ၊ မၼ်းပဵၼ်ၽွၼ်းလီၶႃႈဢေႃႈ။
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,ၵဝ်ၶႃႈ လဵၼ်ႈမၢၵ်ႇၼင်ၼႆႉ လီဢၢမ်း၊ ၵဝ်ၶႃႈ လဵၼ်ႈမၢၵ်ႇၼင်ၼႆႉ လီဢၢမ်း၊ ၵဝ်ၶႃႈ လဵၼ်ႈမၢၵ်ႇၼင်ၼႆႉ လီဢၢမ်း၊ ၵဝ်ၶႃႈ လဵၼ်ႈမၢၵ်ႇၼင်ၼႆႉ လီဢၢမ်း၊ ၵဝ်ၶႃႈ လဵၼ်ႈမၢၵ်ႇၼင်ၼႆႉ လီဢၢမ်း၊ ၵဝ်ၶႃႈ လဵၼ်ႈမၢၵ်ႇၼင်ၼႆႉ လီဢၢမ်း၊ ၵဝ်ၶႃႈ လဵၼ်ႈမၢၵ်ႇၼင်ၼႆႉ လီဢၢမ်း၊ ၵဝ်ၶႃႈ လဵၼ်ႈမၢၵ်ႇၼင်ၼႆႉ လီဢၢမ်း၊ ၵဝ်ၶႃႈ လဵၼ်ႈမၢၵ်ႇၼင်ၼႆႉ လီဢၢမ်း၊ ၵဝ်ၶႃႈ လဵၼ်ႈမၢၵ်ႇၼင်ၼႆႉ လီဢၢမ်း၊ ၵဝ်ၶႃႈ လဵၼ်ႈမၢၵ်ႇၼင်ၼႆႉ လီဢၢမ်း၊ ၵဝ်ၶႃႈ လဵၼ်ႈမၢၵ်ႇၼင်ၼႆႉ လီဢၢမ်း၊ ၵဝ်ၶႃႈ လဵၼ်ႈမၢၵ်ႇၼင်တႄႉတႄႉတႄႉ။
"  Mon cher, si tu savais comme l'on marche mieux",ၵေႃႉႁၵ်ႉ ၵဝ်ၶႃႈ၊ သင်ၸိူဝ်ႉဝႃႈ မႂ်း ႁု လွင်ႈ ဢၼ် ႁဝ်း လႆ လီ လီ သေပိူၼ်ႈ ၸိုင်၊မႂ်း တၵ်း လႆႈ ႁဵတ်း ၸိူဝ်ႉ ၼင်ႇ ၼၼ် ဢေႃႈ။
  Sous la pistolétade excitante des yeux !,ၼႂ်းၼႃႈတႃဢၼ်ၶိုၵ်ႉၶၵ်ႉၼၼ်ႉ!
"  Comme, sur les pourpoints, font d'amusantes taches",မိူၼ်ၼင်ႇ တီႈဢၼ်လႆႈႁၼ် ၶေႃႈမုၼ်းၼၼ်ႉ ႁဵတ်းဝႆႉ လွင်ႈလဵၼ်ႈၸိူင်း ဢၼ်ၸူမ်းသဝ်း
  Le fiel des envieux et la bave des lâches !,တၢင်း ဢၼ် ၵူၼ်း ဢၼ် မီး ၸႂ်ၸူမ်းသိူဝ်း ၼၼ်ႉ ၸူမ်းသိူဝ်း လႄႈ တၢင်း ဢၼ် ၵူၼ်း ဢၼ် ၵူဝ်ယမ် ၼၼ်ႉ ၸူမ်းသိူဝ်း ဢေႃႈ။
"  --Vous, la molle amitié dont vous vous entourez,",- သူၸဝ်ႈ၊ ၵေႃႉႁၵ်ႉ ဢၼ်ႁၵ်ႉမႅတ်ႈတႃႇ ဢၼ်သူ မီး ယူႇၸွမ်းၵၼ် ၼၼ်ႉ
"  Ressemble à ces grands cols d'Italie, ajourés",မိူၼ်ၵၼ်တင်း ၶူၼ်လူင်ဢၼ်မီးတီႈ မိူင်းဢီႇတလီႇယႃး ၸိူဝ်းဢၼ်လႆႈလူႉလႅဝ်ၵႂႃႇ
"  Et flottants, dans lesquels votre cou s'effémine:",ၼမ်ႉမၢၵ်ႇႁိၼ် ဢၼ်လႆၶဝ်ႈၼႂ်း ၵူၼ် သူပ်း
"  On y est plus à l'aise. . .et de moins haute mine,",ႁဝ်းတေမီးလွင်ႈငမ်းယဵၼ်ၼမ်လိူဝ်။ . .
"  Car le front n'ayant pas de maintien ni de loi,",လွင်ႈ မၼ်း ၸမ်ႉ၊ပႃႈၼႃႈ ဢမ်ႇ မီး လွင်ႈ ပႂ်ႉထၢမ် လႄႈ ဢမ်ႇ မီး ပိင်းၺၢပ်ႈတြႃး၊
"  S'abandonne à pencher dans tous les sens. Mais moi,",မၼ်းယွမ်းႁပ်ႉလွင်ႈငမ်းယဵၼ်ၵူႈလွင်ႈလွင်ႈ။
"  La Haine, chaque jour, me tuyaute et m'apprête",တၢင်းမုၼ်မႆႈၸႂ် လိူတ်ႈၸပ်းၸပ်းၸပ်းၸပ်းၸပ်းၸပ်းၸပ်းၸပ်းၸပ်းၸပ်းၸပ်းၸပ်းၸပ်းၸပ်းၸပ်းၸပ်းၸပ်းၸပ်းၸပ်းၸပ်း
  La fraise dont l'empois force à lever la tête;,မၢၵ်ႇမႆႉသၵ်း ဢၼ်မၢၵ်ႇမႆႉသၵ်း ၼၼ်ႉ ႁဵတ်းႁႂ်ႈ ႁူဝ် မၼ်း ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ ၶိုၼ်ႈ
  Chaque ennemi de plus est un nouveau godron,ၽႂ်ဢမ်ႇပဵၼ်သត្រូវထႅင်ႈၵေႃႈ ပဵၼ်ၵူၼ်းမႂ်ႇ
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",ၸဝ်ႈႁဝ်း ႁဵတ်း ႁႂ်ႈ ၵဝ် လႆႈ ထူပ်း ၽေးသႅင် ၼႃႇ လႄႈ ႁဵတ်း ႁႂ်ႈ ၵဝ် လႆႈ ဢူၵ်းဢွၼ်ႇ ၼႃႇ ဢေႃႈ။
"  Car, pareille en tous points à la fraise espagnole,",ယွၼ်ႉပိူဝ်ႈဝႃႈ၊ မိူၼ်ၵၼ်တင်း ပရူးသ်ပၢၼ်ႇ၊
"  La Haine est un carcan, mais c'est une auréole !",တၢင်းႁၵ်ႉၼႆႉ ပဵၼ်လွင်ႈမႆႈၸႂ်၊ ၵူၺ်းၵႃႈ မၼ်းပဵၼ်လွင်ႈမႆႈၸႂ်။
"LE BRET (après un silence, passant son bras sous le sien):",(လုၵ်ႉတီး ၽႃႇသႃႇတႆး ၼႆႈသေ ၶိုၼ်းပိၼ်ႇဝၢႆႇမႃး)
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",ႁႂ်ႈၵူၼ်း ဢၼ် ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း ဢူၵ်း
  Dis-moi tout simplement qu'elle ne t'aime pas !,လၢတ်ႈၼႄဝႃႈ မၼ်းဢမ်ႇႁၵ်ႉ မႂ်း။
CYRANO (vivement):,CYRANO (ယူႇ)
  Tais-toi !,ၸပ်းပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပိတ်ႈပ
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(လုၵ်ႉတီႈ ၶရိတ်ႉသျၢၼ်ႇ မႃးၶဝ်ႈမႃး၊ ၶဝ်ႈပႃးၼႂ်း ၸုမ်းၵူၼ်းၼုမ်ႇၶဝ်၊ ၶဝ်ၸိူဝ်းၼႆႉ
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ဢမ်ႇလၢတ်ႈသင်၊ မၼ်းၸၢႆး ထိုင်ယူႇႁင်းၵူၺ်း တီႈႁူင်းယႃ
