Scène 2.VIII.,ⵜⵉⴼⵉⵏⴰⵖ 2.VIII.
"  Vis-à-vis de soi-même en garder le mérite,",ⵙ ⵓⵙⵙⴰⵏ ⵏⴻⵜ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉⴻⴷⴻⴳ ⵉ
"  Bref, dédaignant d'être le lierre parasite,","ⵙ ⵉⵎⵉⴽ, ⵙ ⵓⵙⵙⵏ ⵏⵉⵜ ⴰⴷ ⵏⵙⵙⵏ ⵎⴰⵙ ⵉⴳⴰ ⵡⴰⵍⵍⴰⵍ ⴰⵎⵖⵔⴰⴱⵉ,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,",ⴰⵍⵓⴰⵈ ⵓⴰ ⵉⴷ ⵓⴰⵔ ⵏ ⵏ ⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾⵉⴾ
"  Ne pas monter bien haut, peut-être, mais tout seul !","ⵓⵔ ⵢⴰⵙⵙⵉ ⴰⴷ ⵢⴻⵙⵙⵉⴼⵍⴻⵖ, ⵎⴰⵛⴰ ⴰⴷ ⵢⴻⵙⵙⵉⴼⵍⴻⵖ ⵙⴻⴳ ⵡⴰⵢⴰ."
LE BRET:,ⵟⴰⵛⵉⵔⴹⴰⵔⵜ:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","ⴾⴰⵍⴰⴾⴰⵍ, ⵎⴰⵛⴰⵏ ⵓⴰⵔ ⵏ ⵉⵋⵋⴰ ⵎⵢⵗ ⴰⴾⴰⵍ"
  As-tu donc contracté la manie effroyable,ⵎⴰⵛⴰ ⵜⵙⵙⵏⴷ ⵜⴱⴰⵍⵜ ⵜⴰⵅⴰⵜⴰⵔⵜ?
"  De te faire toujours, partout, des ennemis ?",ⴰⴷ ⵏⵉⴾⴰⴾⴰⵍ ⵉⴾⴰⵍ ⵏⴰⵙⴰⵏ ⴰⴾⴰⵍ?
CYRANO:,ⵛⵉⵕⴰⵏⵓ:
"  A force de vous voir vous faire des amis,",ⵙ ⵓⵍⵍⵉ ⵏⴰⴾⴰⵍ ⴰⵙ ⵏⴰⴾⴰⵍ ⵉⴷⴷⵉⴾⵓⴷ ⵏⴰⵙⴰⵏ ⵏⴰⵙⴰⵏ ⵏⴰⵙⴰⵏ
"  Et rire à ces amis dont vous avez des foules,",ⴰⴷ ⵜⵔⵔⴰⵜ ⵉ ⵡⵉⵏ ⵉⵎⵉⴷⴷⵉⵢⵏ ⵏⵏⴰ ⵜⵓⵔⵏⵉⵏⵜ ⵜⴰⴳⴷⵓⴷⵜ
  D'une bouche empruntée au derrière des poules !,ⵙ ⵓⵛⵏⵢⵍ ⵏ ⵓⵛⵏⵢⵍ ⵏ ⵓⵛⵏⵢⵍ!
"  J'aime raréfier sur mes pas les saluts,",ⵆⴰⵍⵍ ⴰⴶⵓⴷ ⵓⴰ ⵙ ⵉⵋⵋⴰ ⴾⴰⵍⵍ ⵏⴰⵙⴰⵏ
  Et m'écrie avec joie: un ennemi de plus !,"ⴰⴷ ⵢⵉⵏⵉ-ⴷ ⵙ ⵓⵃⴰⵙⵙⴰ: "" ⵢⴰⵎⴰⵍ ⵢⴰⵎⴰⵍ !"
LE BRET:,ⵟⴰⵛⵉⵔⴹⴰⵔⵜ:
  Quelle aberration !,ⴰⵜⵓⴰⵗⴰⵔ ⵏⴰⵙⴰⵏ !
CYRANO:,ⵛⵉⵕⴰⵏⵓ:
"  Eh bien, oui, c'est mon vice.",ⴷⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉⵉ
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,ⵆⴰⵍⵍ ⴰⴶⵓⴷⴰⵏ ⴰⴶⵓⴷⴰⵏ ⴰⴶⵓⴷⴰⵏ ⴰⴶⵓⴷⴰⵏ ⴰⴶⵓⴷⴰⵏ ⴰⴶⵓⴷⴰⵏ ⴰⴶⵓⴷⴰⵏ ⴰⴶⵓⴷⴰⵏ ⴰⴶⵓⴷⴰⵏ ⴰⴶⵓⴷⴰⵏ
"  Mon cher, si tu savais comme l'on marche mieux","ⵆⴰⵍⴰⴾ, ⵎⵓⵙ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷ"
  Sous la pistolétade excitante des yeux !,ⴷⴷⴰⴶ ⵏ ⵉⴾⵉⴰⴷⴰⵏ ⵓⵉⵏ ⴰⴾⴰⵍ ⵓⵉⵏ ⴰⴾⴰⵍ!
"  Comme, sur les pourpoints, font d'amusantes taches","ⵙ ⵎⴰⴷ ⵉⵥⵍⵉⵏ ⵙ ⵉⵙⵡⵉⵏⴳⵉⵎⵏ, ⴷⴰ ⵜⵜⵓⵙⴽⴰⵔⵏⵜ ⵜⵉⵖⴰⵡⵙⵉⵡⵉⵏ ⵏ ⵓⵙⵏⴼⵍⵓⵍ"
  Le fiel des envieux et la bave des lâches !,ⵜⴰⵛⵉⴾⵉⵍⵜ ⵏ ⵉⴾⴰⵍⴰⵏ ⴷ ⵜⴰⵛⵉⴾⵉⵍⵜ ⵏ ⵉⴾⴰⵍⴰⵏ
"  --Vous, la molle amitié dont vous vous entourez,","- ⴰⵜⵓ, ⵜⴰⵣⵓⵋⵉⵜ ⵏⴰⵙⴰⵏ ⵓⴰ ⵉⵋⵋⴰⵏ ⴰⴾⴰⵍ"
"  Ressemble à ces grands cols d'Italie, ajourés","ⴾⴰⵍⴰⵗⴰⵏ ⴰⵜⴰⵍⵉⴰ ⵜⴰⵏ ⵓⵉⵏ ⴰⴾⴰⵍ ⵓⵉⵏ ⴰⴾⴰⵍ ⵓⵉⵏ ⴰⵜⴰⵍⵉⴰ, ⵉⵋⵋⴰⵏ"
"  Et flottants, dans lesquels votre cou s'effémine:",ⴷ ⵉⵙⵍⴰⵍⵏ ⵏⵏⴰ ⵙⵙⴼⵍⵏ ⵉⴽⴰⵍ ⵏⵏⴽ
"  On y est plus à l'aise. . .et de moins haute mine,",ⴰⵈⴰⵍⵏⵢⵏ ⴰⵋⵋⵓⵜⵏⵢⵏ ⴰⵂⴰⵏⵢⵏ.
"  Car le front n'ayant pas de maintien ni de loi,",ⵆⵓⴷⴷⴻⵎ ⵓⴰⵔ ⵉⵍⵍⴰ ⴰⴶⵏⴰ ⴷ ⵓⴰⵔ ⵉⵍⵍⴰ ⵓⴰⵔ ⵉⵍⵍⴰ ⵓⴰⵔ ⵉⵍⵍⴰ ⵓⴰⵔ ⵉⵍⵍⴰ ⵓⴰⵔ ⵉⵍⵍⴰ ⵓⴰⵔ ⵉⵍⵍⴰ ⵓⴰⵔ ⵉⵍⵍⴰ ⵓⴰⵔ ⵉⵍⵍⴰ ⵓⴰⵔ ⵉⵍⵍⴰ
"  S'abandonne à pencher dans tous les sens. Mais moi,",ⵆⴰⵍⵍⴰ ⴰⴾⴰⵍ ⵏⴰⵙⴰⵏ ⴰⴾⴰⵍ ⵏⴰⵙⴰⵏ
"  La Haine, chaque jour, me tuyaute et m'apprête",ⴰⴾⴰⵍ ⵓⴰ ⵉⴾⴰⵍⴰⵏ ⴰⴾⴰⵍ ⵓⴰ ⵉⴾⴰⵍⴰⵏ ⴰⴾⴰⵍ ⵓⴰ ⵉⴾⴰⵍⴰⵏ
  La fraise dont l'empois force à lever la tête;,ⵜⴰⵣⴻⴼⵔⴻⵜ ⵜⴰⵣⴻⴼⵔⴻⵜ ⵜⴻⵙⵙⴻⴼⴽ ⴰⴷ ⵜⴻⵙⵙⴻⴼⴽ ⴰⴷⴷⵓⴱⴰⵜ
  Chaque ennemi de plus est un nouveau godron,ⴰⴾⴰⵍ ⵏ ⵢⴷⴰⴶ ⵓⵉ ⵉⵋⵋⴰⵏ ⴰⵈⵈⴰⵍⴰⵏ ⴰⴾⴰⵍ ⴰⵎⴰⵢⵏⵓ
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",ⵓⴰ ⵉⵋⵋⴰ ⵉⵉⵉⴰⵏ ⵏⵢⵜ ⴷ ⵉⵉⵉⴰⵏ ⵏⵢⵜ
"  Car, pareille en tous points à la fraise espagnole,","ⵙ ⵎⴰⴷ ⵉⵥⵍⵉⵏ ⵙ ⵜⵔⵉⴼⵜ ⵏ ⵙⴱⴰⵏⵢⴰ,"
"  La Haine est un carcan, mais c'est une auréole !","ⵜⴰⵣⵏⵉⵜ ⵜⴰⵈⵈⴰⵍ ⵜⴰⵣⵏⵉⵜ, ⵎⴰⵛⴰ ⵜⴰⵈⵈⴰⵍ ⵜⴰⵣⵏⵉⵜ!"
"LE BRET (après un silence, passant son bras sous le sien):",ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ ⵓⴰ 
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","ⵓⴾⵏⴻⵏ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷ ⴾⴰⵍⵍⴻⵏ, ⴰⴷ ⴾⴰⵍⵍⴻⵏ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷ ⴾⴰⵍⵍⴻⵏ"
  Dis-moi tout simplement qu'elle ne t'aime pas !,ⴾⴰⵍⴰ-ⴷ ⴷⴰⴶⵂ ⴰⴾⴰⵍ ⵓⴰ ⵓⴰⵔ ⵜ ⵉⵂⴰⴾⴾⴰⵎ ⴰⴾⴰⵍ!
CYRANO (vivement):,ⵛⵉⵕⴰⵏⵓ (ⵜⵓⴷⵔⵜ):
  Tais-toi !,ⴰⵛⵓⴾⵍ!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(ⴷⴰⵗ ⵜⵉⵣⵉ, ⵛⵂⵔⵉⵙⵜⵢⴰⵏ ⵢⵈⴰⵍ ⵉⵋⵋⴰ, ⵉⵋⵋⴰ ⵉⴾⴰⵍ ⵏ ⵉⵛⵂ-ⵉⴾⵉⵍⴰⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ ⵓⵉⵏ"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ⵓⵔ ⵙⴰⵡⴰⵍⵏ ⴰⵙ; ⵢⴰⵙⵙⴰ ⵉⴷⴷⵉⵖ ⵉⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰ
