Scène 2.VIII.,འབྱུང་རིམ་༢༨
  Si c'est dans ton jardin à toi que tu les cueilles !,ཁྱོད་ཀྱིས་ལྡུམ་ར་ནང་བཙོང་པ་ཅིན་ ཁྱོད་ཀྱིས་བཙོང་ནི་དེ་ ཁྱོད་ཀྱིས་འབད་དོ་
"  Puis, s'il advient d'un peu triompher, par hasard,",ད་རུང་ཁོ་གིས་ཨ་ཙི་ཅིག་རང་རྒྱལ་ཁ་ཐོབ་པ་ཅིན་
"  Ne pas être obligé d'en rien rendre à César,",ང་རྒྱལཔོ་ ཀེ་སཱར་ལུ་ལོག་དགོ་པའི་དོན་དག་ག་ནི་ཡང་མེད།
"  Vis-à-vis de soi-même en garder le mérite,",རང་གིས་རང་ལུ་བལྟ་བ་ཅིན་ འདི་ལུ་བལྟ་བ་ཅིན་
"  Bref, dédaignant d'être le lierre parasite,",འདི་འབདཝ་ལས་ ང་བྱི་ལི་གི་སྲོག་ཆགས་ཨིནམ་ལས་ ང་ཕངས་སེམས་མེད་པར་སྡོད་དོ་
"  Lors même qu'on n'est pas le chêne ou le tilleul,",ང་བཅས་ཤིང་དང་ཤིང་མ་བཟུམ་ཅིག་འབད་རུང་
"  Ne pas monter bien haut, peut-être, mais tout seul !",འདི་ཡང་ ཁྱོད་ཀྱིས་མཐོ་ཚད་མ་འགྱོ་རུང་ ཁྱོད་རང་གི་དོན་ལུ་ཨིན།
LE BRET:,རྒྱུགས་སྐུད་:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",གཅིག་གིས་གཅིག་ལུ་འབད་བ་ཅིན་ འོང་ནི་དེ་མ་གཏོགས་ མི་ག་ར་གིས་མ་འཐབ་པར་སྡོད་ནི་དེ་ རྩ་ལས་རང་ལེགས་ཤོམ་ཅིག་མེན་
  As-tu donc contracté la manie effroyable,ད་ཁྱེད་རང་ལུ་ ནད་གཞི་འདི་ ག་དེ་སྦེ་འོང་ནི་སྨོ་
"  De te faire toujours, partout, des ennemis ?",ཁྱོད་ཀྱིས་དགྲ་བྱང་ཕྱད་ཚུ་ ག་ཡང་འབད་མ་ཚུགསཔ་ལས་ ག་ཅི་འབད་དགོཔ་སྨོ།
CYRANO:,ཀི་ར་ནོ:
"  A force de vous voir vous faire des amis,",ཁྱེད་གཉིས་ཆ་རང་ལུ་ཆ་རོགས་འབད་སྡོད་ས་མཐོང་སྟེ་
"  Et rire à ces amis dont vous avez des foules,",དེ་ལས་ཁྱེད་དང་གཅིག་ཁར་ མི་ཚོགས་འཛོམས་པའི་ཆ་རོགས་ཚུ་ལུ་ བགད་ནི་
  D'une bouche empruntée au derrière des poules !,ཁ་འདི་ ཨ་ལོ་གི་རྒྱབ་ལས་བཏོན་ཏེ་བཞག་ཡོདཔ་ཨིན།
"  J'aime raréfier sur mes pas les saluts,",ང་རང་གི་རྐང་མའི་རྩ་བར་ལས་ ཁ་སངས་ས་སླབ་ནི་དགའ།
  Et m'écrie avec joie: un ennemi de plus !,ད་རུང་དགྲ་གཅིག་ཡོད་ཟེར་སླབ་སྟེ་ དགའ་སྤྲོ་འགྱུར་ཏེ་སྐད་རྐྱབ་ད།
LE BRET:,རྒྱུགས་སྐུད་:
  Quelle aberration !,འདི་བཟུམ་གྱི་རྣམ་རྟོག་མ་ལང་པ་ཅིག་ཨིན་
CYRANO:,ཀི་ར་ནོ:
"  Eh bien, oui, c'est mon vice.",འདི་ངེ་གི་ཉེས་དམིགས་ཨིན།
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,ང་དགའ་བའི་ལཱ་འདི་ ང་དགའ་བའི་ལཱ་ཨིན་ ང་མི་དགའ་བའི་ལཱ་འདི་ མི་གིས་ང་ལུ་མ་དགའ་ནི་འདི་ཨིན།
"  Mon cher, si tu savais comme l'on marche mieux",ངེ་གི་བྱམས་པའི་ཆ་རོགས་ ཁྱོད་ཀྱིས་ལམ་འདི་ག་དེ་སྦེ་འགྱོ་ཚུགས་ག་ཤེས་པ་ཅིན་
  Sous la pistolétade excitante des yeux !,མིག་ཏོ་གི་མཐོང་སྣང་འདི་ གནམ་མེད་ས་མེད་དགའ་ཏོག་ཏོ་ཅིག་ཨིན་མས།
"  Comme, sur les pourpoints, font d'amusantes taches",འདི་བཟུམ་སྦེ་ སྟོན་ཐངས་ཚུ་ནང་ལུ་ སྤྲོ་བ་ཅན་གྱི་ལཱ་ཚུ་འབདཝ་ཨིན་མས།
  Le fiel des envieux et la bave des lâches !,ཕྲག་དོག་བསྐྱེད་མི་གི་ཧིང་དང་ཞེན་ཆགས་བསྐྱེད་མི་གི་ཧིང་
"  --Vous, la molle amitié dont vous vous entourez,",ཁྱེད་རང་གི་ཆ་རོགས་ཚུ་གི་ཆ་རོགས་ཚུ་
"  Ressemble à ces grands cols d'Italie, ajourés",Italy གི་ cols གི་བཟུམ་སྦོམ་སྦེ་ར་བཟོཝ་ཨིན།
"  Et flottants, dans lesquels votre cou s'effémine:",དེ་ལས་ཁྱོད་ཀྱི་མཇིང་པ་དེ་ཡང་ མར་ཆུ་ནང་མཆོངས་ཏེ་འགྱོ་འོང་།
"  On y est plus à l'aise. . .et de moins haute mine,",འདི་ནང་ལུ་ ང་བཅས་ཨ་ལོ་བཟུམ་སྦེ་ར་ སྡོད་ཚུགས་ནི་ཨིནམ་མ་ཚད་ ས་གོ་དེ་ཡང་ མར་ཕབ་འགྱོ་ནི་ཨིན་མས།
"  Car le front n'ayant pas de maintien ni de loi,",ག་ཅི་སྨོ་ཟེར་བ་ཅིན་ མི་གི་གདོང་པ་ལུ་ ཁྲིམས་དང་བཅའ་ཁྲིམས་མེད་ཟེར་བའི་
"  S'abandonne à pencher dans tous les sens. Mais moi,",ཁོ་གིས་ ལྕོགས་གྲུབ་ཀྱི་རྣམ་ཤེས་འདི་ ལེགས་བསྒྱུར་འབད་ནི་གི་ཐབས་ཤེས་ལེ་ཤ་གནང་ནུག
"  La Haine, chaque jour, me tuyaute et m'apprête",♪ ♪ དགྲ་བྱང་ཕྱད་ཚུ་གིས་ཉིནམ་རེ་འཆར་ ང་ལུ་ཨུ་ཚུགས་རྐྱབ་ ♪
  La fraise dont l'empois force à lever la tête;,ཟ་བའི་བསྒང་ལས་ ཤ་གི་པགས་ཀོ་འདི་ཡར་སེང་འགྱོ་སྟེ་ མར་མནེམ་སྟེ་སྡོད་འོང་།
  Chaque ennemi de plus est un nouveau godron,དགྲ་གཞན་རེ་ འདྲོག་པ་གསརཔ་ཅིག་ཨིན།
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",ཁོ་གིས་ང་ལུ་དཀའ་ངལ་དང་སྡུག་བསྔལ་ལེ་ཤ་བྱིན་ཡི་
"  Car, pareille en tous points à la fraise espagnole,",ག་ཅི་སྨོ་ཟེར་བ་ཅིན་ ཐབས་ཤེས་ག་ཅི་ནང་ཡང་ སེཔེའིན་པེརསི་གི་ཤིང་འབྲས་བཟུམ་ཅིག་སྦེ་
"  La Haine est un carcan, mais c'est une auréole !",དགྲ་སེམས་འདི་ གཟུགས་ཀྱི་སྲོག་ཆགས་ཅིག་ཨིན་ དེ་འབདཝ་ད་ གཟུགས་ཀྱི་འོད་ཟེར་འདི་ གཟུགས་ཀྱི་འོད་ཟེར་ཨིན།
"LE BRET (après un silence, passant son bras sous le sien):",གུ་རུ་ (ཁུ་སིམ་སི་སྦེ་རང་སྡོད་པའི་ཤུལ་ལས་) ཕྱག་འོག་ལུ་འགྱོ་སྟེ་:
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",མི་ཁམས་བཟང་པོ་དང་ང་རྒྱལ་ཅན་ལུ་ དྲོད་བྲོ་སྦོམ་སྦེ་བཏོན་ཏེ་ ཉམ་ཆུང་བཟོ་
  Dis-moi tout simplement qu'elle ne t'aime pas !,མོ་གིས་ཁྱོད་ལུ་མ་དགའཝ་ཨིན་ན་ ཁྱོད་ཀྱིས་སླབ་ནི་རྐྱངམ་གཅིག་ཨིན།
CYRANO (vivement):,CYRANO (གསོན་པོ་སྦེ་):
  Tais-toi !,ཁུ་སིམ་སི་སྦེ་སྡོད་ནི་
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",( དུས་ཡུན་དུམ་གྲ་ཅིག་གི་ཤུལ་ལས་ ཀྲིསི་ཀྲན་དེ་འཛུལ་ཏེ་ ཨ་ལོ་ཆུང་ཀུ་ཚུ་དང་འབྲེལ་བ་འཐབ་ནུག
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ཁོང་དང་གཅིག་ཁར་གསུང་གྲོས་མ་གནང་པར་ ཁོང་རང་རྐྱངམ་གཅིག་སྦེ་ སྡོད་པའི་ཤུལ་ལས་
